Footprints,footprints,none,6,none
Garneau,garneau,none,6,none
Ghostwhip,ghostwhip,none,6,none
Handsome Tiger,handsome_tiger,none,6,none
illi,illi,none,6,none
Illustrator,illustrator,none,6,none
Intersect,intersect,none,6,none
J Jonah,j_jonah,none,6,none
Kousk,kousk,none,6,none
Lion S,lion_s,none,6,none
Lost Paradise,lost_paradise,none,6,none
Mihajic Touch,mihajic_touch,none,6,none
More Like Space,more_like_space,none,6,none
Mr Diggler,mr_diggler,none,6,none
Naasko,naasko,none,6,none
Ocea Sasa,ocea_sasa,none,6,none
Ol Molasses,ol_molasses,none,6,none
Pete Moss,pete_moss,none,6,none
Puar,puar,none,6,none
R@ngo,rango,none,6,none
The Alchemystics,alchemystics,none,6,none
Tuck In Tyler,tuck_in_tyler,none,6,none
Willa,willa,none,6,none
Poolside,poolside,none,5,none
Doc Martin,doc_martin,none,5,none
Z Trip (Eagle),z_trip_eagle,none,5,none
Fred Everything,fred_everything,none,5,none
Marques Wyatt,marques_wyatt,none,5,none
Be Svendsen,be_svendsen,none,5,none
Sabo,sabo,none,5,none
Rob Paine,rob_paine,none,5,none
Zam Zam & Alter Echo,zam_zam,none,5,none
Pleasensations,plesensations,none,5,none
Moontricks,moontricks,none,5,none
Adham Shaikh,adham_shaikh,none,5,none
Rennie Foster,rennie_foster,none,5,none
Mat The Alien,mat_the_alien,none,5,none
Niki Sadeki,niki_sadeki,none,5,none
El Papachango & Dakini Star,el_papachango,none,5,none
DNA,dna,none,5,none
Frase Live,frase_live,none,5,none
Danny Corn,danny_corn,none,5,none
OAKK,oakk,none,5,none
S2,s_two,none,5,none
Laura Low,laura_low,none,5,none
The Invisible People,invisible_people,none,5,none
Max Ulis,max_ulis,none,5,none
Michael Red,michael_red,none,5,none
Everyman,everyman,none,5,none
Joaqopelli & Danni G.,joaqopelli,none,5,none
Sweet Anomaly,sweet_anomaly,none,5,none
Footprints,footprints,none,5,none
The Pride (Lion S & Hoola),the_pride,none,5,none
Matthew1626,matthew_sixteen,none,5,none
Marty Carter,marty_carter,none,5,none
Naturalist,naturalist,none,5,none
Birdriot,birdriot,none,5,none
Dubconcious,dubconcious,none,5,none
Breakfluid,breakfluid,none,5,none
Journeyman,journeyman,none,5,none
Sonosfera,sonosfera,none,5,none
Sijay,sijay,none,5,none
Onbeyond,onbeyond,none,5,none
Mugwort,mugwort,none,5,none
Miirror,miiror,none,5,none
Ayon,ayon,none,5,none
Holly Hoops,holly_hoops,none,5,none
Mandy Dominguez,mandy_dominguez,none,5,none
Spiralynn,spiralynn,none,5,none
Dislocait,dislocait,none,5,none
Molly Malone,molly_malone,none,5,none
Mischeif & Mayhem Circus,mischeif,none,5,none
Draculauramayem,draculauramayhem,none,5,none
Alex Mischeif,alex_mischeif,none,5,none
Tonic Tribe,tonic_tribe,none,5,none
Booty Luv Fitness,booty_luv,none,5,none
I Love Hoolahoops.,i_love_hoolahoops,none,5,none
Troyboi,troyboi,none,4,none
Mija,mija,none,4,none
1000Volts,thousand_volts,none,4,none
Billy Kenny,billy_kenny,none,4,none
A Tribe Called Red,tribe_called_red,none,4,none
Alix Perez,alix_perez,none,4,none
Minnesota,minnesota,none,4,none
T Williams,t_williams,none,4,none
Truth,truth,none,4,deep_dark
Khiva,khiva,none,4,deep_dark
Distinct Motive,distinct_motive,none,4,deep_dark
Abstrakt Sonance,abstrakt_sonance,none,4,deep_dark
"Trifinity (Yheti, Toadface, Mt. Analogue)",trifinity,none,4,none
Chuurch,chuurch,none,4,none
The Librarian,the_librarian,none,4,none
Pigeon Hole,pigeon_hole,none,4,none
Tynan,tynan,none,4,none
Abelation,abelation,none,4,none
Greazus w/ Sammy Rich,greazus,none,4,none
Left/Right,left_right,none,4,none
Little Snake,little_snake,none,4,none
Longwalkshortdock,long_walk,none,4,none
kLL sMTH,kll_smth,none,4,none
Manatee Commune,manatee_commune,none,4,none
Mersiv,mersiv,none,4,none
Milano,milano,none,4,none
S2,s_two,none,4,none
SkiiTour,skiitour,none,4,none
Chane,chane,none,4,none
Looting,looting,none,4,none
Hoola,hoola,none,4,none
Homesick,homesick,none,4,none
Keegan Jaymes,keegan_jaymes,none,4,none
Lorne B,lorne_b,none,4,none
razethedead,razethedead,none,4,none
Woodhead,woodhead,none,4,none
Jodie B,jodie_b,none,4,none
Marin Patenaude,marin_patenaude,none,4,none
Rachel Geek,rachel_geek,none,4,none
